nameList,titleList,tagList,textList
['\n      oleksm\n    '],['Ionic 2 vs React Native: сравнение фреймворков для создания корпоративных мобильных приложений'],['JavaScript *Разработка мобильных приложений *'],"['Мобильный доступ к данным ускоряет выполнения бизнес-процессов компании. Мобильное согласование служебных записок или утверждение отпусков уже привычная составляющая работы в корпорациях. Мобильные устройства есть у каждого сотрудника', ' таким образом компания может использовать эти устройства без инвестиций в них. Большой зоопарк мобильных устройств необходимо учитывать во время разработки корпоративного мобильного приложения: оно должно работать и иметь одинаковый вид на всех устройствах.\n\r\nВ этой публикации мы рассматриваем создание таких корпоративных мобильных приложений с использованием различных JavaScript фреймворков.\n']"
['\n      dagen\n    '],['Вышел React v16.0'],['JavaScript *ReactJS *'],"['Это перевод поста Эндрю Кларка о выходе столь ожидаемой версии React. Оригинальный пост в блоге React.\nМы с удовольствием сообщаем о выходе React v16.0! Среди изменений некоторые давно ожидаемые нововведения', ' например фрагменты', ' обработка ошибок (error boundaries)', ' порталы', ' поддержка произвольных DOM-атрибутов', ' улучшения в серверном рендере', ' и уменьшенный размер файла.']"
['\n      ru_vds\n    '],['Новшества серверного рендеринга в React 16'],['Блог компании RUVDS.com Разработка веб-сайтов *JavaScript *ReactJS *'],"['Вышел React 16! Рассказывая об этом событии', ' можно упомянуть множество замечательных новостей (вроде архитектуры ядра Fibers)', ' но лично меня больше всего восхищают улучшения серверного рендеринга. Предлагаю подробно всё это разобрать и сравнить с тем', ' что было раньше. Надеюсь', ' серверный рендеринг в React 16 понравится вам так же', ' как он понравился мне.\n\n']"
['\n      ru_vds\n    '],['React.js: понятное руководство для начинающих'],['Блог компании RUVDS.com Разработка веб-сайтов *JavaScript *ReactJS *'],"['Автор статьи', ' перевод которой мы публикуем', ' считает', ' что', ' к несчастью', ' в большинстве из существующих руководств по React не уделяется должного внимания ценным практическим приёмам разработки. Такие руководства не всегда дают тому', ' кто по ним занимается', ' понимание того', ' что такое «правильный подход» к работе с React.\n\n\n\r\nВ этом руководстве', ' которое рассчитано на начинающих разработчиков', ' имеющих знания в области HTML', ' JavaScript и CSS', ' будут рассмотрены основы React и самые распространённые ошибки', ' с которыми может столкнуться программист', ' пользующийся данной библиотекой.']"
['\n      VanishMax\n    '],['Перед вами — React Modern Web App'],['Разработка веб-сайтов *Open source *JavaScript *ReactJS *Поисковая оптимизация '],"['Перед тем как начать собирать с нуля Modern Web App нужно разобраться', ' что такое — Современное Веб-Приложение?\nModern Web App (MWA) — приложение', ' придерживающееся всех современных веб-стандартов. Среди них Progressive Web App — возможность скачивать мобильную браузерную версию на телефон и использовать как полноценное приложение. Так же это возможность листать сайт в оффлайне как с мобильного устройства', ' так и с компьютера; современный материальный дизайн; идеальная поисковая оптимизация; и естественно — высокая скорость загрузки.\n\nВот что будет в нашем MWA (советую использовать эту навигацию по статье):\n\nUniversal Web App\nMaterial-ui\nCode Splitting\nПример использования Redux\nМобильная версия\nProgressive Web App\nBabel 7', ' Webpack и многое другое\n\nЛюди на Хабре деловые', ' поэтому сразу ловите ссылку на GitHub репозиторий', ' архив с каждой из стадий разработки и демо. Статья рассчитана на разработчиков', ' знакомых с node.js и react. Вся необходимая теория представлена в необходимом объеме. Расширяйте кругозор', ' переходя по ссылкам.\nПриступим!']"
['\n      ru_vds\n    '],['Анализ и оптимизация React-приложений'],['Блог компании RUVDS.com JavaScript *Анализ и проектирование систем *Клиентская оптимизация *ReactJS *'],"['Люди', ' вроде меня', ' которые борются за высокую производительность сайтов', ' часто тратят на это много времени. Поэтому сейчас я собираюсь раз и навсегда решить проблему низкого быстродействий веб-ресурсов', ' интерфейс которых написан на React. А именно', ' я предлагаю всем', ' кто это читает', ' сегодня же прекратить пользоваться React.\n\n\n\r\nАвтор материала', ' перевод которого мы сегодня публикуем', ' конечно же', ' шутит. Здесь речь пойдёт о том', ' как оптимизировать производительность React-приложений. Кстати', ' прежде чем начать', ' подумаем о том', ' зачем вообще нужна оптимизация сайтов. Пожалуй', ' можно сказать', ' что нужна она для того', ' чтобы сайтом могло бы пользоваться больше людей', ' чем до оптимизации.\n']"
['\n      ru_vds\n    '],['Записки фрилансера: разработка первого React Native-приложения'],['Блог компании RUVDS.com Разработка веб-сайтов *JavaScript *ReactJS *'],"['Автор материала', ' перевод которого мы публикуем', ' недавно выпустил своё первое мобильное приложение', ' написанное на React Native. Так случилось', ' что это приложение стало и его первым проектом', ' который он создал как программист-фрилансер. Здесь он расскажет о том', ' с чем ему пришлось столкнуться в ходе работы — от инициализации проекта до его публикации в App Store и Google Play.\n\n']"
['\n      glebmachine\n    '],['React Native для самых маленьких. Опыт мобильной разработки'],['Блог компании Конференции Олега Бунина (Онтико) Разработка веб-сайтов *JavaScript *Разработка мобильных приложений *ReactJS *'],"['Однажды', ' в одной продуктовой команде захотели разработать мобильное приложение', ' чтобы проверить гипотезу востребованности продукта и его удобства для пользователей. И то', ' что в команде не было мобильных разработчиков', ' не помешало. Два фронтенд-разработчика взяли React Native и за три месяца написали приложение. Тестирование гипотезы прошло успешно', ' приложение продолжает развивается и вызывает интерес других команд в компании.\n\n\nИзображение из описания инструмента: www.semrush.com/news/position-tracking-on-the-go.\n\r\nЭто краткое описание истории команды Артёма Лашевского', ' который на три месяца из фронтенд-разработчика стал мобильным. Подробнее', ' как это произошло', ' читайте в расшифровке доклада Артёма на FrontendConf 2019: что такое React Native', ' почему именно он', ' пошаговая инструкция создания приложения и выбор нужных библиотек и компонентов. ']"
['\n      raoffonom\n    '],['Аутентификация — CUSTOM SETUP / AWS Amplify + React Native'],['JavaScript *Разработка мобильных приложений *Amazon Web Services *ReactJS *'],"['\nОдна из самых запрашиваемых тем', ' среди подписчиков моего канала Димка Реактнативный — это аутентификация и авторизация в приложении React Native. Поэтому я решил посветить этому вопросу отдельный лонгрид и перед тем как мы начнем кодить', ' необходимо разобраться с определением Аутентификация/Авторизация.']"
['\n      ru_vds\n    '],['Импорт react с древнейших времен до наших дней'],['Блог компании RUVDS.com Разработка веб-сайтов *ReactJS *'],"['\n\r\nПрежде чем мы начнём разговор о способах импорта в веб-проекты библиотеки React', "" покажу современные способы выполнения этой операции и использования хука useState:\n\n// Глобальный подход\nwindow.React.useState()\n// Использование импорта в стиле CommonJS\nconst React = require('react')\nReact.useState()\n// ES-модули"", ' импорт значения', "" экспортируемого по умолчанию\nimport React from 'react'\nReact.useState()\n// ES-модули"", "" именованный импорт\nimport {useState} from 'react'\nuseState()\n// ES-модули"", "" импорт пространства имён\nimport * as React from 'react'\nReact.useState()\n\r\nНиже я расскажу об истоках каждого из этих механизмов"", ' и о том', ' почему я предпочитаю использовать последний из них.']"
['\n      phillennium\n    '],"['Интервью с Дэном Абрамовым: React 17', ' Suspense', ' Redux', ' холивары']",['Блог компании JUG Ru Group JavaScript *Программирование *ReactJS *Интервью '],"['\nГлавный миф о Дэне Абрамове — что он «создал React». Но хотя это и не так', ' сейчас он имеет самое прямое отношение к фреймворку', ' так что поговорить с ним про React очень интересно. Обычно Дэна не увидеть на российских конференциях', ' но нам помог онлайн-формат', ' и на HolyJS его подробно расспросили Наталия Теплухина (член core team Vue.js) и Наталия Короткова (занимается веб-проектами с 2010 года).\nТут получился не поверхностный разговор о погоде', ' а обсуждение технической конкретики для тех', ' кто вдается в детали. Но под конец были и более общие вопросы: когда появится новая документация React', ' переписанная с нуля? Что не так с Redux? Как Дэн воспринимает холивары о фреймворках? Что он может рассказать о релокации?\nТак что', ' если не осилите все технические детали в первой половине интервью', ' переходите ко второй', ' там попроще. Под катом — и видеозапись разговора', ' и текстовая расшифровка.']"
['\n      aio350\n    '],['React: основные подходы к управлению состоянием'],['Разработка веб-сайтов *JavaScript *Программирование *ReactJS *'],"['\n\r\nДоброго времени суток', ' друзья!\n\r\nПредлагаю вашему вниманию простое приложение — список задач. Что в нем особенного', ' спросите вы. Дело в том', ' что я попытался реализовать одну и ту же «тудушку» с использованием четырех разных подходов к управлению состоянием в React-приложениях: useState', ' useContext + useReducer', ' Redux Toolkit и Recoil.\n\r\nНачнем с того', ' что такое состояние приложения', ' и почему так важен выбор правильного инструмента для работы с ним.\n\r\nСостояние — это собирательное понятие для любой информации', ' имеющей отношение к приложению. Это могут быть как данные', ' используемые в приложении', ' такие как тот же список задач или список пользователей', ' так и состояние как таковое', ' например', ' состояние загрузки или состояние формы.\n\r\nУсловно', ' состояние можно разделить на локальное и глобальное. Под локальным состоянием', ' обычно', ' понимается состояние отдельно взятого компонента', ' например', ' состояние формы', ' как правило', ' является локальным состоянием соответствующего компонента. В свою очередь', ' глобальное состояние правильнее именовать распределенным или совместно используемым', ' подразумевая под этим то', ' что такое состояние используется более чем одним компонентом. Условность рассматриваемой градации выражается в том', ' что локальное состояние вполне может использоваться несколькими компонентами (например', ' состояние', ' определенное с помощью useState()', ' может в виде пропов передаваться дочерним компонентам)', ' а глобальное состояние не обязательно используется всеми компонентами приложения (например', ' в Redux', ' где имеется одно хранилище для состояния всего приложения', ' обычно', ' создается отдельный срез (slice) состояния для каждой части UI', ' точнее', ' для логики управления этой частью).']"
['\n      MaxRokatansky\n    '],['React-компоненты шаблонов проектирования'],['Блог компании OTUS JavaScript *Программирование *ReactJS *'],"['Эта документация поможет найти компромиссы между различными шаблонами (patterns) React', ' а также определить', ' когда использование каждого из них будет наиболее целесообразным. Нижеприведенные шаблоны позволят получить более практичный и многократно используемый код', ' придерживаясь принципов проектирования', ' таких как разделение ответственности', ' DRY (Don’t repeat yourself — не повторяй себя) и повторное использование кода. Некоторые из этих шаблонов помогут решить проблемы', ' которые возникают в больших React приложениях', ' таких как пробрасывание (prop drilling) или управление состоянием. Каждый основной шаблон включает пример', ' размещенный на CodeSandBox.Приведенные ниже примеры не являются сложными', ' чтобы не смущать читателя деталями имплементации', ' которые не относятся к концепциям каждого шаблона компонентов.']"
['\n      ssurrokk\n    '],['React Server-Side Rendering (SSR) — руководство новичка'],['Разработка веб-сайтов *ReactJS *'],"['В этом уроке мы поговорим о серверном рендеринге (SSR)', ' его преимуществах и подводных камнях. Затем мы создадим мини React проект и express сервер (Node.js)', ' чтобы продемонстрировать', ' как можно достичь SSR.']"
['\n      jojo97\n    '],['5 практических примеров для изучения фреймворка React'],['Разработка веб-сайтов *JavaScript *ReactJS *'],"['Перевод статьи «5 Practical Examples For Learning The React Framework»', ' Martin Angelov\n\r\nВы вероятно слышали о популярном JavaScript фреймворке от Facebook – React. Он используется на многих популярных веб-сайтах', ' в том числе в Facebook и Instagram. В этой статье вы увидите 5 практических примеров', ' построенных при помощи React', ' которые помогут вам начать работать с этим фреймворком.\n']"
['\n      greebn9k\n    '],['Изоморфные приложения. Взгляд в будущее с React'],['Разработка веб-сайтов *JavaScript *ReactJS *'],"['Оригинал: React To The Future With Isomorphic Apps\n\nИзоморфные приложения. Взгляд в будущее с React\r\nВ разработке программного обеспечения все часто возвращается на круги своя. Так', ' например', ' на заре развития Интернета серверы подгружали контент сразу же на сторону клиента. В последнее же время', ' с разработкой современных веб-фреймворков', ' таких как AngularJS и Ember', ' мы видим тенденцию к обработке запросов на стороне клиента и использованию сервера только для API. Однако', ' это далеко не единственная тенденция. Сейчас происходит медленное возвращение или', ' скорее', ' слияние этих двух архитектур.\n']"
['\n      JiLiZART\n    '],['Изоморфное Приложение с React и Redux'],['JavaScript *ReactJS *'],"['Итак', ' я знаю что ты любишь Todo списки', ' то есть', ' что тебе очень нравится писать Todo списки', ' поэтому мне хочется', ' чтобы ты создал один из них', ' используя новый', ' восхитительный и питательный («nutritious» прим. пер.) Flux фреймворк', ' Redux! Я желаю тебе только лучшего.\n\r\nВ этой статье ты научишься как сконструировать свое собственное Redux приложение', ' не ограничиваясь', ' но так же включая.\n\n\nЦельнозерновой рендеринг на сервере\nРасширенный роутинг', ' богатый Omega-3\nМаслянистая асинхронная загрузка данных\nГладкое функциональное послевкусие\n\n\r\nЕсли это похоже на то', ' чего ты хочешь в этой жизни', ' вперед под кат', ' если нет', ' то не заморачивайся.\n']"
['\n      yury-dymov\n    '],['React.js: собираем с нуля изоморфное / универсальное приложение. Часть 1: собираем стек'],['JavaScript *Node.JS *ReactJS *'],"['\nЛицо моей жены', ' когда она вычитывала эту статью\nЯ решил написать цикл статей', ' который и сам был бы счастлив найти где-то полгода назад. Он будет интересен в первую очередь тем', ' кто хотел бы начать разрабатывать классные приложения на React.js', ' но не знает', ' как подступиться к зоопарку разных технологий и инструментов', ' которые необходимо знать для полноценной front-end разработки в наши дни.\nЯ хочу с нуля реализовать', ' пожалуй', ' наиболее востребованный сценарий: у нас есть серверная часть', ' которая предоставляет REST API. Часть его методов требует', ' чтобы пользователь веб-приложения был авторизован. ']"
['\n      movax10h\n    '],['Готовим плацдарм для react-приложения'],['JavaScript *ReactJS *'],"['\n\r\nЯ хочу рассказать о процессе создание платформы для react приложения', ' которая использует mobx в качестве Model-и. Пройти путь от пустой директории проекта до рабочего примера. Рассмотреть основные моменты', ' на которые я обращал внимание в процессе разработки. Постараюсь насытить текст уточняющими ссылками', ' дополнительные заметки будут выделены курсивом с пометкой «Note:».\n\r\nРассказ будет состоять из двух частей:\n\n\nГотовим плацдарм для react приложения\nMobx + react', ' взгляд со стороны\n\r\nБуду писать «как я вижу»', ' поэтому предложения и замечания по улучшению приветствуются. Надеюсь', ' читатель знает', ' что такое npm', ' node.js и react.js', ' имеет базовые знания о props и state. На момент написания статьи', ' у меня стоит windows и нестабильная node.js 7.3.0 версии. \n']"
['\n      Plarium\n    '],"['N причин', ' чтобы использовать Create React App']",['Блог компании Plarium JavaScript *Программирование *Разработка игр *ReactJS *'],"['\n\r\nCreate React App — отличный инструмент для быстрого старта React-приложений. Вы не тратите время на настройку Webpack', ' Babel и других привычных инструментов. Они заранее настроены и спрятаны', ' так что разработчики могут сфокусироваться на коде и бизнес-логике приложения.\n']"
['\n      KarafiziArthur\n    '],"['React медленный', ' React быстрый: оптимизация React-приложения на практике']",['ReactJS *'],"['Всем привет! Хочу поделиться своим переводом статьи React is Slow', ' React is Fast: Optimizing React Apps in Practice автора François Zaninotto. Надеюсь', ' это кому-то будет полезным.\nКраткое содержание:\n\nИзмерение производительности React\nПочему ты обновился?\nОптимизация через разбиение на компоненты\nshouldComponentUpdate\nRecompose\nRedux\nReselect\nОстерегайтесь объектных литералов в JSX\nЗаключение\n\nReact может быть медленным. Я хочу сказать', ' что любое React приложение среднего размера может оказаться медленным. Но прежде', ' чем искать ему замену', ' вы должны знать', ' что и любое среднее приложение на Angular или Ember может также оказаться медленным.\nХорошая новость в том', ' что если вы действительно заботитесь о производительности', ' то сделать React приложение очень быстрым довольно легко. Об этом — далее в статье.']"
['\n      AloneCoder\n    '],"['Создание React VR-приложения', ' работающего в реальном времени']",['Блог компании Mail.ru Group Разработка веб-сайтов *JavaScript *ReactJS *Разработка под AR и VR *'],"['\nБиблиотека React VR позволяет писать для веба приложения виртуальной реальности с использованием JavaScript и React поверх WebVR API. Эта спецификация поддерживается последними (в некоторых случаях — экспериментальными) версиями браузеров Chrome', ' Firefox и Edge. И для этого вам не нужны очки VR. \nWebVR Experiments — это сайт-витрина', ' демонстрирующий возможности WebVR. Моё внимание привлёк проект The Musical Forest', ' созданный замечательным человеком из Google Creative Lab', ' который использовал A-Frame', ' веб-фреймворк для WebVR', ' разработанный командой Mozilla VR.']"
